sessionID,series,onset_ms,adj,no adj,Transcription
s021,17,1336,1,0,small 'u'
s021,18,1109,1,0,small 'j'
s021,19,843,1,0,big 'Q'
s021,20,1204,1,0,big 'Z'
s021,21,1388,1,0,big 'B'
s021,22,1188,1,0,big 'C'
s021,23,1099,1,0,small 'a'
s021,24,1654,1,0,big 'B'
s022,13,1287,1,0,smaller 'b'
s022,14,1220,1,0,big 'something'… G??
s022,15,688,1,0,small 'u'
s022,16,885,1,0,big 'Q'
s022,17,624,1,0,small 'r'
s022,18,672,1,0,big 'H'
s022,19,1367,1,0,the big 'P'
s022,20,1055,1,0,the big 'A'??
s022,21,1041,1,0,small 'd'
s022,22,1481,1,0,the small 'v' 
s022,23,769,1,0,big 'M'
s022,24,754,1,0,small 'y'
s023,13,1000,1,0,big 'N'
s023,14,863,1,0,small 'i'
s023,15,814,1,0,small 'g'
s023,16,574,1,0,big 'D'
s023,17,682,1,0,big 'O'
s023,18,692,1,0,big 'C'
s023,19,652,1,0,small 'p'
s023,20,521,1,0,big 'W'
s023,21,813,1,0,big 'A'
s023,22,728,1,0,small 'u'
s023,23,784,1,0,z' ........'small z' (onset of z listed)
s023,24,786,1,0,big 'Y'
s024,13,1195,1,0,smaller 't'
s024,14,2555,1,0,uh smaller 'o'
s024,15,1089,1,0,bigger 'W'
s024,16,1182,1,0,smaller 'd'
s024,17,2055,1,0,bigger 'J'
s024,18,4257,1,0,uummm....smaller 'q'
s024,19,1048,1,0,smaller 'x'
s024,20,1373,1,0,bigger 'I'
s024,21,1229,1,0,bigger 'S'
s024,22,1078,1,0,smaller 'g'
s024,23,2180,1,0,bigger 'Y'
s024,24,1593,1,0,bigger 'M'
s025,13,785,1,0,big 'C'
s025,14,718,1,0,small 'o'
s025,15,835,1,0,small 'r'
s025,16,2409,1,0,eh small 'q'
s025,17,1021,1,0,big 'T'
s025,18,1201,1,0,uh big 'D'
s025,19,1327,1,0,big 'P'
s025,20,1819,1,0,sssshw … big 'A' (onset of big listed)
s025,21,1310,1,0,big 'W'
s025,22,1340,1,0,small 'y'/'I'
s025,23,766,1,0,small 's' (difficulty identifying beginning)
s025,24,1150,1,0,big 'Z'??
s026,13,877,1,0,larger 'L'
s026,14,1394,1,0,smaller/taller(??) 'y'
s026,15,882,1,0,smaller 'e'
s026,16,658,1,0,larger 'W'
s026,17,850,1,0,the smaller 'z'
s026,18,bad trial,1,0,bad trial - think it's large a but hard to tell
s026,19,809,1,0,smaller 'o'
s026,20,1074,1,0,the larger 'C'
s026,21,869,1,0,ehh small 'e'
s026,22,1179,1,0,em the small 's'
s026,23,851,1,0,smaller 'g' 
s026,24,895,1,0,R' … larger 'R' (onset of R listed)
s027,13,2350,1,0,small 'd'
s027,14,1499,1,0,big 'Q'
s027,15,1400,1,0,big 'G'
s027,16,1621,1,0,big 'O'
s027,17,1127,1,0,smaaaaall 'y'
s027,18,762,1,0,small 's'
s027,19,1680,1,0,small 'm'
s027,20,1562,1,0,small 'cant make it out'
s027,21,1030,1,0,big 'I'
s027,22,1106,1,0,small 'c'
s027,23,1416,1,0,h'…small (onset of h listed)
s027,24,bad trial,1,0,not sure whether it says the r or big r
s028,13,753,1,0,big 'L'
s028,14,1712,1,0,the small 'j'/'g'
s028,15,673,1,0,small 'r'
s028,16,814,1,0,big 'Q'
s028,17,981,1,0,big 'P'
s028,18,655,1,0,small 'a'
s028,19,1091,1,0,big 'B'
s028,20,808,1,0,big 'Z'
s028,21,795,1,0,big 'J'
s028,22,996,1,0,small 'u'
s028,23,738,1,0,small 'y'
s028,24,640,1,0,small 'k'
s029,13,978,1,0,the large 'R'
s029,14,803,1,0,small 'w'
s029,15,1169,1,0,the large 'X'
s029,16,957,1,0,small 'v'
s029,17,886,1,0,the small 'y'
s029,18,941,1,0,the small 'u'
s029,19,775,1,0,the small 'c'
s029,20,1022,1,0,the large 'Q'
s029,21,996,1,0,the large 'L'
s029,22,956,1,0,the large 'E'
s029,23,1662,1,0,the small 'g'
s029,24,1194,1,0,the large 'M'
s030,13,3378,1,0,large 'Q'
s030,14,1571,1,0,ehhh small 'g'
s030,15,1232,1,0,large 'M'
s030,16,1068,1,0,small 'x'
s030,17,1215,1,0,small 'j'
s030,18,905,1,0,small 'b'/'e'
s030,19,1296,1,0,eehh large 'W'
s030,20,3105,1,0,small 'r'
s030,21,1329,1,0,large 'H'
s030,22,1214,1,0,large 'P'
s030,23,2111,1,0,small 'A'
s030,24,1147,1,0,large 'Q' (?)
s031,13,1737,1,0,big 'W'
s031,14,1723,1,0,small 'r'
s031,15,2043,1,0,big 'J'
s031,16,958,1,0,small 'l'
s031,17,1650,1,0,big 'A'
s031,18,1708,1,0,big 'P'
s031,19,1782,1,0,small 't'
s031,20,2037,1,0,small 'h'
s031,21,1614,1,0,small 'm'
s031,22,1951,1,0,small 'c'
s031,23,1127,1,0,small 'g'
s031,24,1164,1,0,big 'I'
s032,13,816,1,0,big 'A'
s032,14,784,1,0,small 'q'
s032,15,730,1,0,big 'L'
s032,16,888,1,0,big 'T'
s032,17,944,1,0,big 'N'
s032,18,762,1,0,big 'N'
s032,19,952,1,0,small 's'
s032,20,895,1,0,small 'v'
s032,21,779,1,0,small 'j'
s032,22,960,1,0,small 'y'
s032,23,775,1,0,small 'u'
s032,24,657,1,0,big 'W'
s033,13,1270,1,0,small 'f'
s033,14,1403,1,0,small 'I'
s033,15,1258,1,0,big 'R'
s033,16,905,1,0,big 'G'
s033,17,1444,1,0,little 'l'
s033,18,1176,1,0,little 'o'
s033,19,1365,1,0,big 'C'
s033,20,1032,1,0,big 'N'
s033,21,1067,1,0,small 'm'/'n'
s033,22,1046,1,0,big 'A'
s033,23,1030,1,0,big 'Y'
s033,24,1025,1,0,big 'B'
s034,13,1275,1,0, the larger 'G'
s034,14,1154,1,0,the small 'n'
s034,15,1004,1,0,the small 'n'
s034,16,667,1,0,eh large 'B'
s034,17,988,1,0,large 'Z'
s034,18,1013,1,0,large 'W'
s034,19,1174,1,0,small 'j'
s034,20,1178,1,0,the larger 'U'
s034,21,1167,1,0,the small 'k'
s034,22,876,1,0,large 'C'
s034,23,994,1,0,small 'f'
s034,24,1008,1,0,large 'V
s035,13,971,1,0,small 'u'
s035,14,593,1,0,large 'N'/'M'
s035,15,534,1,0,large 'Y'
s035,16,736,1,0,noise before speech - small 'n'/'m'
s035,17,783,1,0,large 'B'
s035,18,676,1,0,small 'o'
s035,19,535,1,0,small 'c' … 's' sorry!
s035,20,458,1,0,large 'D'/'T'
s035,21,612,1,0,small 'g'
s035,22,525,1,0,large 'I'
s035,23,602,1,0,small 'p'
s035,24,742,1,0,small 'w'
